Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point
103 Prince St,1005130039.0,1007985,1,Apple Store,40.72488308,-73.9990728,SoHo-TriBeCa-Civic Center-Little Italy,103,2,PRINCE ST,10012,102,49,POINT (-73.99907279999996 40.72488308000004)
2441 31 St,4008370027.0,4017321,22,Staples,40.77133791,-73.91654394,Steinway,24-41,38,31 ST,11102,401,125,POINT (-73.9165439399999 40.77133791000006)
1704 2 Ave,1015510003.0,1050067,5,Goodwill Thrift Shop,40.77939689,-73.95062296,Yorkville,1704,17,2 AVE,10128,108,14602,POINT (-73.95062295999998 40.779396890000044)
5001 Northern Blvd,4007480008.0,4014093,26,Best Buy,40.75380935,-73.91201449,Astoria,50-01,66,NORTHERN BLVD,11101,401,163,POINT (-73.91201448999993 40.75380935000004)
220 E 23 St,1009030047.0,1088660,2,Salvation Army Thrift Store,40.73854788,-73.98249498,Gramercy,220,34,E 23 ST,10010,106,64,POINT (-73.98249497999996 40.738547880000056)
112 4 Ave,1005570025.0,1009002,2,Salvation Army Thrift Store,40.73257895,-73.99008462,West Village,112,6,4 AVE,10003,102,61,POINT (-73.99008461999995 40.73257895000006)
9319 5 Ave,3061090001.0,3155319,43,Staples,40.6171083,-74.02996482,Bay Ridge,9319,94,5 AVE,11209,310,160,POINT (-74.02996481999998 40.61710830000004)
1880 Coney Island Ave,3066170017.0,3175203,44,Staples,40.61144637,-73.96266151,Homecrest,1880,21,CONEY ISLAND AVE,11230,312,420,POINT (-73.96266150999998 40.61144637000007)
8923 Bay Pkwy,3064910011.0,3345607,43,Best Buy,40.59536244,-74.00062654,Bensonhurst West,8923,89,BAY PKWY,11214,311,294,POINT (-74.00062653999998 40.59536244000003)
2231 3 Ave,1017860004.0,1054603,8,Goodwill Thrift Shop,40.80142521,-73.93746635,East Harlem North,2231,35,3 AVE,10035,111,194,POINT (-73.93746634999997 40.80142521000005)
1294 Southern Blvd,2029800006.0,2010547,17,Salvation Army Thrift Store,40.83090243,-73.89157549,Crotona Park East,1294,10,SOUTHERN BLVD,10459,203,123,POINT (-73.89157549 40.83090243000004)
5102 Ave U,3084700050.0,3238574,46,Best Buy,40.60997687,-73.92222008,Georgetown-Marine Park-Bergen Beach-Mill Basin,5102,67,AVE U,11234,318,698,POINT (-73.92222007999999 40.609976870000025)
