Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Queens,26,Sunnyside Greenmarket,02:00 PM,08:00 AM,40.746891021728516,"Skillman Ave at 43rd St,Queens,NY,11104",-73.9207992553711,Hunters Point-Sunnyside-West Maspeth,,,Saturdays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,402,171,POINT (-73.92079708999995 40.746890730000075),11104
Brooklyn,34,Scholes Street Children's Garden,,,40.70847702026367,"134 Scholes St, Brooklyn, NY 11206",-73.94430541992188,East Williamsburg,,,Thursdays,Year Round,Scholes Street Children's Garden,www.nyrp.org,301,2000,POINT (-73.944309 40.708478),11206
Manhattan,9,FACES NY at 115th,2pm,10am,40.801937103271484,"121 West 115th, 10026",-73.95098876953125,Central Harlem South,,,Monday,Year Round,FACES NY,www.facesny.org,110,2000,POINT (-73.950989 40.801937),10026
Manhattan,2,OPENING JULY 1: Green Oasis Garden,dusk,dawn,40.724205017089844,"368 East 8 Street, NY 10009",-73.9774169921875,Lower East Side,,,Everyday,Year Round,Green Oasis Garden,http://greenoasisnyc.org/,103,1001,POINT (-73.977419 40.724204),10009
Queens,26,CLOSING JULY 8: Junkluggers,06:00 PM,10:00 AM,40.765567779541016,"33-56 11th Street, Queens",-73.9375228881836,Queensbridge-Ravenswood-Long Island City,,,Tuesdays,Year Round,NYC Compost Project,,401,1001,POINT (-73.937525 40.765566),11106
Manhattan,8,The Herb Garden,dusk,dawn,40.79482650756836,180 East 111th Street,-73.94309997558594,East Harlem South,,,Everyday,Year Round,The Herb Garden,,111,1003,POINT (-73.943099 40.794827),10029
Manhattan,3,Hudson River Park's 14th Street Park at 10th Ave.,7pm,7am,40.74283218383789,14th Street Park at southwest corner of 15th St. and 10th Ave,-74.00769805908203,Hudson Yards-Chelsea-Flatiron-Union Square,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,83,POINT (-74.00769750999996 40.74283077000007),10011
Brooklyn,39,East 4th Street Community Garden,06:00 PM,04:00 PM,40.64821243286133,173 East 4th Street,-73.97709655761719,Windsor Terrace,,,Wednesdays,"Seasonal, April-October",East 4th Street Community Garden,,307,2004,POINT (-73.977095 40.648214),11218
Bronx,16,St. Augustine Food Pantry,5pm,11am,40.82906723022461,1168 Franklin Ave,-73.90428924560547,Morrisania-Melrose,,,Monday,Year Round,St. Augustine Food Pantry,,203,2000,POINT (-73.904291 40.829067),10456
Manhattan,4,OPEN FOR SEASON: Bryant Park,2:30pm,12:30pm,40.75417709350586,6th Avenue and 41st Sreet,-73.9845962524414,Midtown-Midtown South,"For schedule, holiday, and inclement weather updates, please visit: http://bryantpark.org/programs/waste-sorting-concierge",,Friday,"Seasonal, May-November",Bryant Park Corporation,http://bryantpark.org/programs/waste-sorting-concierge,105,84,POINT (-73.98459513999995 40.75417679000004),10018
Manhattan,7,97th Street Greenmarket,2pm,8am,40.793556213378906,"97th St between Columbus & Amsterdam, Manhattan",-73.9670181274414,Upper West Side,,,Friday,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,107,181,POINT (-73.96701598999994 40.79355734000006),10025
Manhattan,2,CLOSED FOR SEASON: Carmen Pabon del Amanecer Community Garden,5pm,10am,40.72445297241211,115 Avenue C,-73.97887420654297,Lower East Side,,,Sunday,Seasonal,Carmen Pabon del Amanecer Community Garden,,103,2001,POINT (-73.97887300000001 40.724453),10009
Manhattan,2,OPENING JULY 7: La Plaza Cultural Community Garden,5pm,10am,40.72541427612305,674 East 9th Street,-73.97862243652344,Lower East Side,Find instructions here for composting at La Plaza: https://drive.google.com/file/d/0BwYV2m0W1uasckhWd2ZZdTRzSVk/view?usp=sharing,,Sunday,Seasonal,La Plaza Cultural Community Garden,laplazacultural.com,103,2000,POINT (-73.978623 40.725414),10009
Queens,26,OPEN FOR SEASON: Brooklyn Grange,04:00 PM,10:00 AM,40.75200271606445,37-19 Northern Blvd Roof,-73.92532348632813,Hunters Point-Sunnyside-West Maspeth,,,Saturdays,Seasonal,Brooklyn Grange,www.brooklyngrangefarm.com,401,1005,POINT (-73.925322 40.752002),11101
Queens,22,Astoria Library,08:00 PM,12:00 PM,40.772377014160156,"14-01 Astoria Blvd, Astoria, NY 11102",-73.92874145507813,Old Astoria,,,Thursdays,Year Round,NYC Compost Project,"http://www.queenslibrary.org/branch/Astoria

http://www.bigreuse.org/compost/drop-off-list/",401,2001,POINT (-73.92874200000001 40.772376),11102
Queens,29,Forest Hills Greenmarket,02:00 PM,08:00 AM,40.72185516357422,"South side of Queens Blvd at 70th Avenue, Queens",-73.84648132324219,Forest Hills,,,Sundays,Year Round,NYC Compost Project,http://www.bigreuse.org/compost/drop-off-list/,406,711,POINT (-73.84648 40.721856),11375
Brooklyn,42,UCC Youth Farm,06:00 PM,10:00 AM,40.66490936279297,613 New Lots Avenue,-73.88672637939453,East New York,,,Fridays,Year Round,East New York Farms!,https://ucceny.org/enyf/,305,2004,POINT (-73.88673 40.664909),11207
